application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector,noise_model,noise_single_qubit_error,noise_two_qubit_error,noise_readout_error
Func-8,10,baseline,cobyla_iteration,10,256,0.8571428571428578,0.8571428571428578,222.6458204651169,222.6458204651169,0.00447135563687395,0.00447135563687395,0.447135563687395,0.447135563687395,222.6458204651169,6.25,0.0,1531.5726171874996,-6.91,0.0625,0.0625,6.4818750000000005,6.760000000000001,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.649866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,11,baseline,cobyla_iteration,11,256,0.8571428571428578,0.8571428571428578,224.68681065439478,224.68681065439478,0.004430919100236428,0.004430919100236428,0.4430919100236428,0.4430919100236428,224.68681065439478,5.078125,0.390625,1545.6758593749998,-6.91,0.05078125,0.05078125,6.522307692307692,6.91,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.644879895051;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,12,baseline,cobyla_iteration,12,256,0.8571428571428578,0.8571428571428578,242.14359319593856,242.14359319593856,0.004112796010191988,0.004112796010191988,0.4112796010191988,0.4112796010191988,242.14359319593856,3.90625,0.0,1666.3022265624995,-6.91,0.0390625,0.0390625,6.564,6.760000000000001,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.640799904592;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,13,baseline,cobyla_iteration,13,256,0.8571428571428578,0.8571428571428578,254.1453965327719,254.1453965327719,0.003919333891926818,0.003919333891926818,0.3919333891926818,0.3919333891926818,254.1453965327719,1.5625,0.0,1749.2346874999998,-6.91,0.015625,0.015625,6.45,6.54,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.637399912543;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,14,baseline,cobyla_iteration,14,256,0.8571428571428578,0.8571428571428578,269.06273216398375,269.06273216398375,0.003702843380081017,0.003702843380081017,0.3702843380081017,0.3702843380081017,269.06273216398375,0.390625,0.0,1852.3134765625002,-6.91,0.00390625,0.00390625,6.36,6.36,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.634522996193;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,15,baseline,cobyla_iteration,15,256,0.8571428571428578,0.8571428571428578,272.45451038886335,272.45451038886335,0.003656915362551379,0.003656915362551379,0.3656915362551379,0.3656915362551379,272.45451038886335,0.78125,0.0,1875.7506640625006,-6.91,0.0078125,0.0078125,6.3950000000000005,6.430000000000001,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.632057067894;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,16,baseline,cobyla_iteration,16,256,0.8571428571428578,0.8571428571428578,306.9326614427389,306.9326614427389,0.003247463245096374,0.003247463245096374,0.3247463245096374,0.3247463245096374,306.9326614427389,0.78125,0.0,2113.994687499999,-6.91,0.0078125,0.0078125,6.21,6.21,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;1.22831853072;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,17,baseline,cobyla_iteration,17,256,0.8571428571428578,0.8571428571428578,234.08220117993062,234.08220117993062,0.004253831191731124,0.004253831191731124,0.42538311917311233,0.42538311917311233,234.08220117993062,0.78125,0.0,1610.5980078124985,-6.91,0.0078125,0.0078125,6.285,6.36,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.914159265359;0.209439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,18,baseline,cobyla_iteration,18,256,0.8571428571428578,0.8571428571428578,294.9471784297354,294.9471784297354,0.003378981361829144,0.003378981361829144,0.3378981361829144,0.3378981361829144,294.9471784297354,0.0,0.0,2031.175,-6.91,0.0,0.0,6.324999999999998,,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.809439510239;0.157079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,19,baseline,cobyla_iteration,19,256,0.8571428571428578,0.8571428571428578,160.89059131460291,160.89059131460291,0.006177011226407187,0.006177011226407187,0.6177011226407186,0.6177011226407186,160.89059131460291,5.078125,0.0,1104.8439843750002,-6.91,0.05078125,0.05078125,6.499230769230771,6.800000000000001,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.757079632679;0.125663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,20,baseline,cobyla_iteration,20,256,0.8571428571428578,0.8571428571428578,347.8380239748018,347.8380239748018,0.0028666599718849303,0.0028666599718849303,0.286665997188493,0.286665997188493,347.8380239748018,0.0,0.0,2396.6507421875003,-6.91,0.0,0.0,9.599257812499998,,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.725663706144;0.10471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
Func-8,21,baseline,cobyla_iteration,21,256,0.8571428571428578,0.8571428571428578,240.98775586611845,240.98775586611845,0.00413244048824213,0.00413244048824213,0.413244048824213,0.413244048824213,240.98775586611845,0.390625,0.0,1658.3153906250009,-6.91,0.00390625,0.00390625,6.32,6.32,COBYLA,aer_noise,11,28,0.448798950513;0.224399475256;0.749599650171;0.112199737628;0.689759790103;0.674799825085;0.0641141357875;0.0560998688141;0.049866550057;0.0448798950513;0.0407999045921;0.0373999125427;0.0345229961933;0.0320570678938;0.628318530718;0.314159265359;0.209439510239;0.157079632679;0.125663706144;0.70471975512;0.0897597901026;0.0785398163397;0.0698131700798;0.0628318530718;0.0571198664289;0.0523598775598;0.0483321946706;0.0448798950513,depolarizing_readout,5e-05,0.0005,0.0001
