application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector
Func-6,17,method,cobyla_iteration,17,256,1.0,1.0,0.0008695652181474294,0.0,0.9991311902685762,1.0,99.91311902685763,100.0,0.0008695652181474294,100.0,99.21875,-11.490000000000002,-11.500000000000002,1.0,1.0,11.490000000000002,11.500000000000002,COBYLA,ddsim,14,2,-0.0429786138548;-0.00871051405433
Func-6,1,baseline,cobyla_iteration,1,256,0.0,0.0,224.7794023693735,224.7794023693735,0.0044291019885153516,0.0044291019885153516,0.44291019885153515,0.44291019885153515,224.7794023693735,0.0,0.0,2573.4631250000016,-11.500000000000002,0.0,0.0,9.349375,,COBYLA,ddsim,14,8,0.448798950513;0.224399475256;0.149599650171;0.112199737628;0.628318530718;0.314159265359;0.209439510239;0.157079632679
Func-6,2,baseline,cobyla_iteration,2,256,1.0,1.0,172.13258167141967,172.13258167141967,0.005775920340042371,0.005775920340042371,0.5775920340042371,0.5775920340042371,172.13258167141967,0.390625,0.390625,1968.0246875000005,-11.500000000000002,0.00390625,0.00390625,11.500000000000002,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.224399475256;0.149599650171;0.112199737628;0.628318530718;0.314159265359;0.209439510239;0.157079632679
Func-6,3,baseline,cobyla_iteration,3,256,1.0,1.0,208.9018242305668,172.13258167141967,0.004764132011075565,0.005775920340042371,0.47641320110755647,0.5775920340042371,208.9018242305668,0.0,0.0,2390.8709765625003,-11.500000000000002,0.0,0.00390625,10.691523437500003,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.824399475256;0.149599650171;0.112199737628;0.628318530718;0.314159265359;0.209439510239;0.157079632679
Func-6,4,baseline,cobyla_iteration,4,256,1.0,1.0,190.5694295135385,172.13258167141967,0.005220039557143059,0.005775920340042371,0.5220039557143059,0.5775920340042371,190.5694295135385,0.0,0.0,2180.0484374999987,-11.500000000000002,0.0,0.00390625,10.576562500000005,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.224399475256;0.749599650171;0.112199737628;0.628318530718;0.314159265359;0.209439510239;0.157079632679
Func-6,5,baseline,cobyla_iteration,5,256,1.0,1.0,188.82042135984372,172.13258167141967,0.005268137078382594,0.005775920340042371,0.5268137078382594,0.5775920340042371,188.82042135984372,0.390625,0.0,2159.934843749999,-11.500000000000002,0.00390625,0.00390625,10.219999999999999,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.224399475256;0.149599650171;0.712199737628;0.628318530718;0.314159265359;0.209439510239;0.157079632679
Func-6,6,baseline,cobyla_iteration,6,256,1.0,1.0,217.42400154775999,172.13258167141967,0.004578251441755327,0.005775920340042371,0.4578251441755327,0.5775920340042371,217.42400154775999,0.0,0.0,2488.876015625,-11.500000000000002,0.0,0.00390625,11.123984374999996,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.224399475256;0.149599650171;0.112199737628;1.22831853072;0.314159265359;0.209439510239;0.157079632679
Func-6,7,baseline,cobyla_iteration,7,256,1.0,1.0,225.28128756002715,172.13258167141967,0.004419278371547728,0.005775920340042371,0.4419278371547728,0.5775920340042371,225.28128756002715,0.0,0.0,2579.2348046874995,-11.500000000000002,0.0,0.00390625,9.827695312500001,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.224399475256;0.149599650171;0.112199737628;0.628318530718;0.914159265359;0.209439510239;0.157079632679
Func-6,8,baseline,cobyla_iteration,8,256,1.0,1.0,223.4617529117059,172.13258167141967,0.004455101980751969,0.005775920340042371,0.4455101980751969,0.5775920340042371,223.4617529117059,0.0,0.0,2558.3101562500005,-11.500000000000002,0.0,0.00390625,10.43984375,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.224399475256;0.149599650171;0.112199737628;0.628318530718;0.314159265359;0.809439510239;0.157079632679
Func-6,9,baseline,cobyla_iteration,9,256,1.0,1.0,199.67791117906773,172.13258167141967,0.004983109471912361,0.005775920340042371,0.4983109471912361,0.5775920340042371,199.67791117906773,0.0,0.0,2284.7959765625,-11.500000000000002,0.0,0.00390625,10.516523437500007,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.224399475256;0.149599650171;0.112199737628;0.628318530718;0.314159265359;0.209439510239;0.757079632679
Func-6,10,baseline,cobyla_iteration,10,256,1.0,1.0,175.91815912036355,172.13258167141967,0.005652331026797907,0.005775920340042371,0.5652331026797907,0.5775920340042371,175.91815912036355,0.0,0.0,2011.5588281249995,-11.500000000000002,0.0,0.00390625,4.066171875000001,11.500000000000002,COBYLA,ddsim,14,8,1.28784417011;0.00223951789246;-0.0530644313493;0.112081369255;0.397095528757;0.0745803080015;-0.0282044341455;-0.0552710080938
Func-6,11,baseline,cobyla_iteration,11,256,1.0,1.0,205.8911109127314,172.13258167141967,0.004833460440075694,0.005775920340042371,0.4833460440075694,0.5775920340042371,205.8911109127314,0.0,0.0,2356.2477734375,-11.500000000000002,0.0,0.00390625,10.939726562500002,11.500000000000002,COBYLA,ddsim,14,8,1.08827002602;0.187716489226;0.116135817356;0.112180192678;0.590139057461;0.600078318578;0.170199812881;0.122016358084
Func-6,12,baseline,cobyla_iteration,12,256,1.0,1.0,141.48178680781027,141.48178680781027,0.007018440899740205,0.007018440899740205,0.7018440899740205,0.7018440899740205,141.48178680781027,0.0,0.0,1615.5405468750005,-11.500000000000002,0.0,0.00390625,4.771953124999999,11.500000000000002,COBYLA,ddsim,14,8,1.1230943401;0.224399475256;0.149599650171;0.112199737628;0.628318530718;0.303902799765;0.209439510239;0.157079632679
Func-6,13,baseline,cobyla_iteration,13,256,1.0,1.0,198.7026632162633,141.48178680781027,0.00500744448719281,0.007018440899740205,0.500744448719281,0.7018440899740205,198.7026632162633,0.0,0.0,2273.5806250000014,-11.500000000000002,0.0,0.00390625,10.794375000000002,11.500000000000002,COBYLA,ddsim,14,8,0.915315983708;0.201119596793;0.128362721416;0.112187333947;0.604088946559;0.26958367045;0.184537083139;0.134827660868
Func-6,14,baseline,cobyla_iteration,14,256,1.0,1.0,210.32857355245963,141.48178680781027,0.004731967775061722,0.007018440899740205,0.47319677750617223,0.7018440899740205,210.32857355245963,0.0,0.0,2407.2785937500003,-11.500000000000002,0.0,0.00390625,11.471406250000001,11.500000000000002,COBYLA,ddsim,14,8,1.04879895051;0.202484335584;0.149599650171;0.112199737628;0.628318530718;0.314159265359;0.229926741706;0.157079632679
